Codigo,clave,descripcion
23694,CEMA-2RP,"Cerradura manija,cilindro metálico, antiguo, recámara, Basic"
23695,CEMA-2BP,"Cerradura manija, cilindro metálico,latón antiguo,baño,Basic"
23696,CEMA-3RP,"Cerradura manija,cilindro metálico,cromo mate,recámara,Basic"
23697,CEMA-3BP,"Cerradura manija, cilindro metálico, cromo mate, baño,Basic"
23698,BC-351PPB,"Bisagra, latón,3.5',blister,Hermex Basic"
23709,RAT-4M,"Ratonera 4', madera, bolsa con 2 pzas"
23710,RAT-7M,"Ratonera 7', madera"
23712,RAT-5P,"Ratonera 5', plástica"
23720,T-45PG,"Tijera para poda , cuchilla curva de paso, Pretul a granel"
23731,LP-23,"Lona Pretul, 2 x 3 metros, azul"
23732,LP-33,"Lona Pretul, 3 x 3 metros, azul"
23733,LP-34,"Lona Pretul, 3 x 4 metros, azul"
23734,LP-45,"Lona Pretul, 4 x 5 metros, azul"
23735,LP-46,"Lona Pretul, 4 x 6 metros, azul"
23736,LP-56,"Lona Pretul 5 x 6 metros, azul"
23737,LP-612,"Lona Pretul, 6 x 12 metros, azul"
23739,LP-23A,"Lona Pretul, 2 x 3 metros, amarilla"
23740,LP-33A,"Lona Pretul, 3 x 3 metros, amarilla"
23741,LP-34A,"Lona Pretul, 3 x 4 metros, amarilla"
23742,LP-45A,"Lona Pretul, 4 x 5 metros, amarilla"
23743,LP-46A,"Lona Pretul, 4 x 6 metros, amarilla"
23744,LP-56A,"Lona Pretul, 5 x 6 metros, amarilla"
23745,LP-612A,"Lona Pretul, 6 x 12 metros, amarilla"
23747,LP-23V,"Lona Pretul, 2 x 3 metros, verde"
23748,LP-33V,"Lona Pretul, 3 x 3 metros, verde"
23749,LP-34V,"Lona Pretul, 3 x 4 metros, verde"
23750,LP-45V,"Lona Pretul, 4 x 5 metros, verde"
23751,LP-46V,"Lona Pretul, 4 x 6 metros, verde"
23752,LP-56V,"Lona Pretul, 5 x 6 metros, verde"
23753,LP-612V,"Lona Pretul, 6 x 12 metros, verde"
23755,LP-23N,"Lona Pretul, 2 x 3 metros, naranja"
23756,LP-33N,"Lona Pretul, 3 x 3 metros, naranja"
23757,LP-34N,"Lona Pretul, 3 x 4 metros, naranja"
23758,LP-45N,"Lona Pretul 4 x 5 metros, naranja"
23759,LP-46N,"Lona Pretul 4 x 6 metros, naranja"
23760,LP-56N,"Lona Pretul 5 x 6 metros, naranja"
23761,LP-612N,"Lona Pretul 6 x 12 metros, naranja"
23763,LP-23R,"Lona Pretul, 2 x 3 metros, roja"
23764,LP-33R,"Lona Pretul, 3 x 3 metros, roja"
23765,LP-34R,"Lona Pretul, 3 x 4 metros, roja"
23766,LP-45R,"Lona Pretul, 4 x 5 metros, roja"
23767,LP-46R,"Lona Pretul, 4 x 6 metros, roja"
23768,LP-56R,"Lona Pretul, 5 x 6 metros, roja"
23769,LP-612R,"Lona Pretul, 6 x 12 metros, roja"
23770,LP-23B,"Lona Pretul, 2 X 3 metros, blanca"
23771,LP-33B,"Lona Pretul, 3 X 3 metros, blanca"
23772,LP-34B,"Lona Pretul, 3 X 4 metros, blanca"
23773,LP-45B,"Lona Pretul, 4 X 5 metros, blanca"
23774,LP-46B,"Lona Pretul, 4 X 6 metros, blanca"
23775,LP-56B,"Lona Pretul, 5 X 6 metros, blanca"
23776,LP-612B,"Lona Pretul, 6 X 12 metros, blanca"
23777,LP-152,"Lona Pretul, 1.5 x 2 metros, azul"
23778,LP-35,"Lona Pretul, 3 x 5 metros, azul"
23779,LP-36,"Lona Pretul, 3 x 6 metros, azul"
23780,LP-44,"Lona Pretul, 4 x 4 metros, azul"
23781,LP-47,"Lona Pretul, 4 x 7 metros, azul"
23782,LP-55,"Lona Pretul, 5 x 5 metros, azul"
23783,LP-57,"Lona Pretul, 5 x 7 metros, azul"
23784,LP-66,"Lona Pretul, 6 x 6 metros, azul"
23785,LP-69,"Lona Pretul, 6 x 9 metros, azul"
23786,LP-710,"Lona Pretul, 7 x 10 metros, azul"
23787,LP-914,"Lona Pretul, 9 x 14 metros, azul"
23969,JUDA-38P,"Juego de dados, cuadro 1/4 y 3/8', 39 piezas, Pretul"
23970,JUDA-33P,"Juego de dados, cuadro 1/4 y 3/8', 33 piezas, Pretul"
23971,JUDA-39P,"Juego de dados, cuadro 1/4', 39 piezas, Pretul"
23972,JUDA-81P,"Juego de dados, 81 piezas, Pretul"
23973,JUDA-40PB,"Juego de dados, cuadro 1/4, 3/8 y 1', 40 pzas, Pretul, bolsa"
23974,JUDA-29P,"Juego de dados, cuadro 1/4 y 3/8', 29 piezas, Pretul"
23975,JGO-PIN-3B,"Juego de pinzas, 3 piezas en blister, Pretul"
23980,JD-1/4X22MM-P,"Juego de autoclé, cuadro 1/4', 22 pzas, milimétricos, Pretul"
23981,JD-1/4X22SAE-P,"Juego de autoclé, cuadro 1/4', 22 piezas, Pretul"
23999,LIOR-1/3P3,"Lijadora orbital, 1/3 hoja, 150 W, Pretul"
24022,BRO-1/2P,"Broquero sin llave, 1/2', Pretul"
24035,ESMA-4-1/2P2,"Esmeriladora angular 4-1/2', 700 W, Pretul"
24047,CALA-P3,"Sierra caladora, 400W, Pretul"
24049,CARB-CALA-P3,Carbones de repuesto para sierra caladora CALA-P3
24050,LILE-3P,"Linterna recargable de 3 leds, Pretul"
24051,CARB-GEN-26P,Carbones de repuesto para generador GEN-26P
24053,LINA-3AP,"Linterna de aluminio de pilas, 35 lúmenes, 9 leds"
24055,RASP-P,"Raspador con navaja, Pretul"
24058,ROTO-1/2P4,"Rotomartillo 1/2', 500 W, Pretul"
24059,ROTO-3/8P4,"Rotomartillo 3/8', 500 W, Pretul"
24060,FGA-06P,"Manguera para gas, aluminio, 3/8' X 60 cm, Foset Basic"
24061,FGA-10P,"Manguera para gas, aluminio, 3/8' X 100 cm, Foset Basic"
24062,FGA-15P,"Manguera para gas, aluminio, 3/8' X 150 cm, Foset Basic"
24063,FGA-20P,"Manguera para gas, aluminio, 3/8' X 200 cm, Foset Basic"
24064,FGA-30P,"Manguera para gas, aluminio, 3/8' X 300 cm, Foset Basic"
24065,FGA-40P,"Manguera para gas, aluminio, 3/8' X 400 cm, Foset Basic"
24066,FGA-50P,"Manguera para gas, aluminio, 3/8' X 500 cm, Foset Basic"
24068,ROTO-1/2P5,"Rotomartillo 1/2', 500 W, Pretul"
24069,TALI-96P2,"Taladro inalámbrico, 9.6V,  Pretul"
24074,CAR-96P2,Cargador de 9.6 V para taladro TALI-96P2
24075,BAT-96P2,"Batería 9.6 V, para taladro TALI-96P2"
24077,CARB-ROTO-1/2P4,Carbones de repuesto para rotomartillo ROTO-1/2P4
24078,CARB-ROTO-3/8P4,Carbones de repuesto para rotomartillo ROTO-3/8P4
24080,LILE-5P,"Linterna recargable de 5 LEDs, Pretul"
24082,LILE-7P,Linterna recargable de 7 leds Pretul
24085,LIRE-7P,"Linterna recargable de 7 leds, Pretul"
24086,LIRE-15P,"Linterna recargable de 15 leds, Pretul"
24088,LIRE-3C,"Linterna recargable de 3 leds, Pretul"
24089,LIRE-4C,Linterna recargable de 4 leds
24090,LIRE-7C,Linterna recargable de 7 leds
24091,LIRE-145P,"Linterna recargable de Leds, 145 lúmenes, Pretul"
24093,LIRE-4P,"Linterna recargable de 4 leds, Pretul"
24098,CM-P-15,"Cámara para llanta de carretilla, 14', Pretul"
24100,CO-4P,"Concha para carretilla CAP-4, Pretul"
24105,NAMU-13P,"Multiherramienta 13 funciones, Pretul"
24106,NAMU-12P,"Multiherramienta 12 funciones, Pretul"
24108,NAMU-DUO,"Juego de multiherramienta y mini multiherramienta, Pretul"
24117,ESTU-1P,"Escalera tubular, plegable, 1 peldaño, Pretul"
24118,ESTU-2P,"Escalera tubular, plegable, 2 peldaños, Pretul"
24119,ESTU-2PB,"Escalera tubular, plegable, 2 peldaños con barandal, Pretul"
24120,ESTU-3P,"Escalera tubular, plegable, 3 peldaños, Pretul"
24121,ESMU-112P,"Escalera de multiposición, 12 escalones, Pretul"
24122,ESTU-4P,"Escalera tubular, plegable, 4 peldaños, Pretul"
24127,DIA-100P,"Diablo de carga, plegable, 100 kg, Pretul"
24140,AFI-CU,"Afilador de cuchillos, Pretul"
24200,CUÑ-4P,"Juego de 4 cuñas, mango plástico, Pretul"
24206,"MD-FUT-3,5,7LP","Manguera y dosificador de repuesto para FUT-3,5,7LP"
24207,"EMF-3,5,7LP","Empaques y boquilla de repuesto para EMF-3,5,7LP"
24219,SET-51,"Set de herramientas para mecánica, 51 piezas, Pretul"
24220,SET-39,"Set de herramientas para mecánica, 39 piezas, Pretul"
24223,SET-133,"Set de herramientas para mecánica, 133 piezas, Pretul"
24232,PPE-300P,"Pinza porta electrodo de 300 A, Pretul"
24233,PPE-500P,"Pinza porta electrodo de 500 A, Pretul"
24234,PTI-300P,"Pinza para tierra de 300 A, Pretul"
24235,PTI-500P,"Pinza para tierra de 500 A, Pretul"
24349,CAB-300P,"Cable para soldadora SOT-300, con pinza de tierra, Pretul"
24355,GEN-26P,"Generador eléctrico a gasolina, 2,600 w, Pretul"
24473,BRE-2,"Brocha económica, mango de madera, 2', Pretul"
24475,BRE-3,"Brocha económica, mango de madera, 3', Pretul"
24476,BRE-4,"Brocha económica, mango de madera, 4', Pretul"
24490,LMO-5/32P,"Lima para motosierra 5/32', Pretul"
24491,LMO-3/16P,"Lima para motosierra 3/16', Pretul"
24492,LMO-7/32P,"Lima para motosierra 7/32', Pretul"
24583,FM-15P,"Fumigador de mochila, 15 lts, Pretul"
24584,FUM-16P,"Fumigador de mochila, 16 lts, Pretul"
24588,FUM-20P,"Fumigador de mochila, 20 lts, Pretul"
24740,JPIN-5P,"Juego de pinceles en blister con 5 piezas, Pretul"
24990,CON-10M,"Contador manual, 10 mil"
25000,MA-7P,"Martillo uña curva 7 oz, Pretul"
25001,MAR-16P,"Martillo uña recta 16 oz, Pretul"
25003,CAP-5N,"Carretilla 5.5ft,llanta neumática,Pretul"
25006,RN-P,"Llanta reforzada,14'con rin,eje, baleros p/carretilla,Pretul"
25008,N-P,"Llanta reforzada, 14' para carretilla, Pretul"
25010,CO-5P,"Concha para carretilla CAP-5, Pretul"
25016,MAN-10X1/2PR,"Manguera 1/2', reforzada 3 capas, 10 m, Pretul"
25017,MAN-15X1/2PR,"Manguera 1/2', reforzada 3 capas, 15 m, Pretul"
25018,MAN-20X1/2PR,"Manguera 1/2', reforzada 3 capas, 20 m, Pretul"
25019,MAN15P-PIM4P,"Manguera 15m, Pretul con pistola plástica, en Pallet"
25022,PES-LRP,"Pala escarraman, mango largo, Pretul"
25031,MAN-10X1/2PA,"Manguera 10 m, 1/2', Pretul, conexiones plásticas, Pretul"
25032,MAN-15X1/2PA,"Manguera 15 m, 1/2', Pretul, conexiones plásticas, Pretul"
25033,T-122P,"Tijeras para ramas 16', mango de madera, Pretul"
25035,MAN-1/2P,"Manguera 1/2', Pretul"
25036,CAS-NP,"Casco de seguridad, color naranja, Pretul"
25037,CAS-AP,"Casco de seguridad, color amarillo, Pretul"
25038,CAS-BP,"Casco de seguridad, color blanco, Pretul"
25039,CAS-ZP,"Casco de seguridad, color azul, Pretul"
25041,REP-DES-300P,Repuesto de carrete de hilo para desbrozadoras DES-300P
25042,TAP-DES-300P,Tapa de repuesto para desbrozadoras DES-300P
25043,DES-300P2,"Desbrozadora eléctrica, 300 W,12' de corte, mango'D',Pretul"
25044,CAS-RP,"Casco de seguridad, color rojo, Pretul"
25045,CAS-VP,"Casco de seguridad, color verde, Pretul"
25046,MAN-1/2PR,"Manguera 1/2', Pretul, reforzada, 3 capas"
25050,BC-301PPB,"Bisagra latonada cuadrada 3', blister 2 pzas, Hermex Basic"
25052,CCO-14RP,"Caja cosmetiquera 14', rosa/morado, Pretul"
25053,ATJ-P,"Azadón tipo jardinero 6', Pretul"
25054,R-14AL-P,"Rastrillo jardinero, 14 dientes, Pretul"
25057,CAP-4SOR,"Carretilla 4 ft, llanta sólida, Pretul, roja"
25074,FL-9NP,"Flota de espuma, 9-1/2', espesor 7/16', acabado liso, Pretul"
25075,EST-4P,"Estante plástico, 4 repisas, Pretul"
25100,GEN-8P,"Generador eléctrico a gasolina, 800 w, Pretul"
25130,ENC-27,"Encendedor para cocina, 27 cm, Pretul"
25131,GAS-125,"Lata de gas butano para encendedor, 125 ml"
25990,ZC-025N,"Zapatos con casco, #25, negro, agujeta bicolor, Pretul"
25991,ZC-026N,"Zapatos con casco, #26, negro, agujeta bicolor, Pretul"
25992,ZC-027N,"Zapatos con casco, #27, negro, agujeta bicolor, Pretul"
25993,ZC-028N,"Zapatos con casco, #28, negro, agujeta bicolor, Pretul"
25994,ZC-029N,"Zapatos con casco, #29, negro, agujeta bicolor, Pretul"
25995,ZC-030N,"Zapatos con casco, #30, negro, agujeta bicolor, Pretul"
26002,LLA-RET,Llavero retractil
26003,LINA-LL,"Llavero tipo linterna con LED, incluye pila LR41"
26004,REP-CAREL-P,Repuesto para careta CAREL-913P
26005,CASO-300-P,"Careta para soldar, Pretul"
26006,CAREL-913P,"Careta electrónica para soldar, sombra 9 a 13, Pretul"
26007,PF-500P,"Protector facial, Pretul"
26008,REP-PFP,Repuesto para protector facial PF-500P
26015,MOT-4520P,"Motosierra 20', motor 45 cc, Pretul"
26016,BAMO-20P,"Barra de repuesto para motosierra 20', Pretul"
26017,MOT-4518P,"Motosierra 18', motor 45 cc, Pretul"
26018,BAMO-18P,"Barra de repuesto para motosierra 18', Pretul"
26020,FLA-40P,"Manguera flexible para lavabo, 40 cm, aluminio, Pretul"
26021,FFR-55P,"Manguera flexible para fregadero, 55 cm, aluminio, Pretul"
26022,FWC-35P,"Manguera flexible para WC, 35 cm, aluminio, Pretul"
26030,CF-1/2P,"Conector sencillo 1/2', hembra, Pretul"
26031,CM-1/2P,"Conector sencillo 1/2', macho, Pretul"
26032,CFM-1/2P,"Conector 1/2', macho y hembra, Pretul"
26039,TB-4P,"Tornillo de banco, 4', hierro, Pretul"
26042,TB-5P,"Tornillo de banco, 5', hierro, Pretul"
26043,TB-6P,"Tornillo de banco, 6', hierro, Pretul"
26044,TB-8P,"Tornillo de banco, 8', hierro, Pretul"
26050,TH-10P,"Tijeras para hojalatero, 10', Pretul"
26051,TH-12P,"Tijeras para hojalatero, 12', Pretul"
26052,TH-8P,"Tijera para hojaltero de 8', Pretul"
26061,ZC-023N,"Zapatos con casco, #23, negro, agujeta bicolor, Pretul"
26062,ZC-024N,"Zapatos con casco, #24, negro, agujeta bicolor, Pretul"
26070,LIRE-200P,"Linterna recargable con lámpara de emergencia, 230lm,Pretul"
26075,LIRE-70P,"Linterna recargable de Led, 100 lúmenes, Pretul"
26100,ET-50P,"Engrapadora tipo pistola con 500 grapas, Pretul"
26105,FOTW-13CP,"Foco twist, 13w, T4, en caja, Pretul"
26106,FOTWC-13CP,"Foco twist, 13w, luz cálida, T4, en caja, Pretul"
26110,FOTW-24CP,"Foco twist, 24w, T4, en caja, Pretul"
26111,FOTWC-24CP,"Foco twist, 24w, luz cálida, T4, en caja, Pretul"
26400,PULA-P,"Pulidora 10', 110 W, Pretul"
26401,BOR-PULA-P,Borla de lana de repuesto para pulidora PULA-P
27001,CARB-ESMA-4-1/2P3,Carbones de repuesto para ESMA-4-1/2P3
27010,CTF-1/2P,"Cinta de teflón, 1/2', Pretul"
27011,CTF-3/4P,"Cinta de teflón, 3/4', Pretul"
27014,PIM-55PG,"Pistola plástica para riego, 5 funciones, Pretul a granel"
27015,CHMA-4PG,"Chiflon de plastico para manguera 4', Pretul a granel"
27020,CORAL-4P,"2 conectores y 2 coples para compresor, Pretul"
27021,CORAL-5P,"4 conectores y 1 cople para compresor, Pretul"
27022,CORAL-HEM-1/4P,"Cople acero, 1/4NPT, hembra, Pretul"
27023,CORAL-MA-1/4P,"Conector cuerda 1/4, macho, Pretul"
27025,NIPLE-P,"Niple acero, cuerda 1/4 NPT, Pretul"
27026,CORUM-P,"Cople rápido, cuerda 1/4 NPT, Pretul"
27027,COPLE-P,"Cople acero, cuerda 1/4 NPT, Pretul"
27028,COPLE-HEM-1/4P,"Cople acero, cuerda 1/4NPT, hembra, Pretul"
27029,COPLE-MA-1/4P,"Cople acero, cuerda 1/4NPT, macho, Pretul"
27030,CORAL-6P,"Juego de 4 conectores y 2 coples, compresor de aire, Pretul"
27035,LL-BRO-3/8-P,"Llave para broquero de 3/8', Pretul"
27036,LL-BRO-1/2-P,"Llave para broquero de 1/2', Pretul"
27037,BRO-3/8N-P,"Broquero de 3/8' con llave, Pretul"
27038,BRO-1/2N-P,"Broquero de 1/2' con llave, Pretul"
27040,GT-26P,"Guadaña tipo austriaca 26', Pretul"
27050,LIBI-2P,"Linternas de silicon para bicicleta, 2 piezas, Pretul"
27051,CARB-DES-300P2,Carbones de respuesto para desbrozadora DES - 300P2
27052,RET-DES-300P2,Retenedor de repuesto de carrete para desbrozadoraDES-300P2
27053,TAP-DES-300P2,Tapa de repuesto para Desbrozadora DES - 300P2
27054,REP-DES-300P2,Repuesto de carrete de hilo para Desbrozadora DES - 300P2
27060,HIPE-30,"Hilo para pesca, rollo 100 m, calibre 0.30 mm"
27061,HIPE-40,"Hilo para pesca, rollo 100 m, calibre 0.40 mm"
27062,HIPE-50,"Hilo para pesca, rollo 100 m, calibre 0.50 mm"
27063,HIPE-60,"Hilo para pesca, rollo 100 m, calibre 0.60 mm"
27064,HIPE-70,"Hilo para pesca, rollo 100 m, calibre 0.70 mm"
27065,HIPE-80,"Hilo para pesca, rollo 100 m, calibre 0.80 mm"
27066,HIPE-90,"Hilo para pesca, rollo 100 m, calibre 0.90 mm"
27067,HIPE-100,"Hilo para pesca, rollo 100 m, calibre 1.00 mm"
27101,ET-21P,"Engrapadora pistola, 1/4,5/16,3/8'"
27110,MBC-10P,"Muelas para berbiquí, 12', Pretul"
27140,BOQ-FMP,"Juego de 2 boquillas para fumigador 15L, Pretul"
27141,LAN-FMP,"Lanza de latón para fumigador 15L, Pretul"
27142,PIS-FMP,"Pistola completa para fumigador 12,16 y 20L, Pretul"
27143,ANP-FMP,"Anillo pistón completo para fumigador 15L, Pretul"
27144,CIL-FMP,"Cilindro completo para fumigador 15L, Pretul"
27145,PIST-FMP,"Pistón para fumigador 15 L, Pretul"
27146,EMP-FMP,"Juego de 7 empaques para fumigador 15L, Pretul"
27147,BOQ-FUMP,"Juego de 2 boquillas para fumigador 16 y 20L, Pretul"
27148,LAN-FUMP,"Lanza de polipropileno para fumigador 16 y 20L, Pretul"
27149,ANP-FUMP,"Anillo pistón completo para fumigador 16 y 20L, Pretul"
27150,CIL-FUMP,Cámara de aire para fumigador FUM-P
27151,EMP-FUMP,Juego de 7 empaques para fumigador FUM-P
27170,PA-NB-P,"Pintura en aerosol, negro brillante, Pretul"
27171,PA-BB-P,"Pintura en aerosol, blanco brillante, Pretul"
27172,PA-NM-P,"Pintura en aerosol, negro mate, Pretul"
27173,PA-RO-P,"Pintura en aerosol, rojo, Pretul"
27174,PAM-PL-P,"Pintura aerosol, metálica, color plata, Pretul"
27175,PA-BM-P,"Pintura en aerosol, blanco mate, Pretul"
27176,PA-TR-P,"Pintura en aerosol, transparente, Pretul"
27177,PAM-CR-P,"Pintura aerosol, metálica, cromo, Pretul"
27178,PA-AH-P,"Pintura en aerosol, azul holandés, Pretul"
27179,PA-TA-P,"Pintura en aerosol, tabaco, Pretul"
27180,PAM-OR-P,"Pintura aerosol, metálica, color oro, Pretul"
27181,PA-NA-P,"Pintura en aerosol, naranja, Pretul"
27182,PA-AU-P,"Pintura en aerosol, azul ultramar, Pretul"
27183,PA-NS-P,"Pintura en aerosol, negro satín, Pretul"
27184,PA-VH-P,"Pintura en aerosol, verde hoja, Pretul"
27200,PNT-2P,"Prensa de hierro nodular, 2', Pretul"
27201,PNT-3P,"Prensa de hierro nodular, 3', Pretul"
27202,PNT-4P,"Prensa de hierro nodular, 4', Pretul"
27203,PNT-5P,"Prensa de hierro nodular, 5', Pretul"
27204,PNT-6P,"Prensa de hierro nodular, 6', Pretul"
28000,LED-T809V,"Tubo de LED T8, pantalla vidrio, base G13, 9 W, 60 cm"
28001,LED-T818V,"Tubo de LED T8, pantalla de vidrio, base G13, 18 W, 1.2 m"
28020,LI-CA-60P,"Linterna para cabeza, 60 lúmenes, 3 Led, Pretul"
28021,LIRE-3CG,"Linterna recargable de 3 Led, Pretul a granel"
28031,PIPI-22E,"Pistola eléctrica para pintar, 229 w"
28147,RECE-160P,"Revolvedora de cemento a gasolina, 1/2 saco, 160 l, Pretul"
28216,JGO-PEPI-3P,"Juego de 1 perico y 2 pinzas, Pretul"
28217,JGO-DEPI-3P,"Juego de 1 desarmador y 2 pinzas, Pretul"
28218,PECO-5P,"Perico corto, 5' con grip, Pretul"
28219,PECO-6P,"Perico corto, 6' con grip, Pretul"
28574,TL-50P,"Tiralíneas 50 ft, incluye gis, Pretul"
28800,BC-301PP,"Bisagra latonada cuadrada 3', Hermex Basic"
29030,LL-17P,"Llave de naríz para jardín, 59 gr, 1/2', plástica, Pretul"
33734,TP-2.5FD-C,"Talacho-pico, 2.5 lbs, mgo fibra vidrio"
41010,LILE-21U,"Linterna recargable de Led, 21 lúmenes, Ultra"
41030,EESQ-1,"Escuadra esquinera, 1' x 1'"
41031,EESQ-1 1/2,"Escuadra esquinera, 1-1/2' x 1-1/2'"
41032,EESQ-2,"Escuadra esquinera, 2' x 2'"
41033,EESQ- 2-1/2,"Escuadra esquinera, 2-1/2' x 2-1/2'"
41034,EESQ-3,"Escuadra esquinera, 3' x 3'"
41035,EESQ-3-1/2,"Escuadra esquinera, 3-1/2' x 3-1/2'"
41036,EESQ-4,"Escuadra esquinera, 4' x 4'"
41037,ECAN-1,"Escuadra cantonera, 1' x 1'"
41038,ECAN-1 1/2,"Escuadra cantonera, 1-1/2' x 1-1/2'"
41039,ECAN-2,"Escuadra cantonera, 2' x 2'"
41040,ECAN- 2-1/2,"Escuadra cantonera, 2-1/2' x 2-1/2'"
41041,ECAN-3,"Escuadra cantonera, 3' x 3'"
41042,ECAN-3-1/2,"Escuadra cantonera, 3-1/2' x 3-1/2'"
41043,ECAN-4,"Escuadra cantonera, 4' x 4'"
41051,CLG-474N,"Niple unión de latón, 5/16' x 5/16'"
41052,CLG-416N,"Niple terminal de latón, 5/16' X 3/8'"
41053,CLG-417N,"Niple terminal de latón, 5/16' X 1/2'"
41054,CLG-496N,"Niple campana de latón, 5/16' X 3/8'"
41055,CLG-497N,"Niple campana de latón, 5/16' X 1/2'"
41056,CLG-773N,"Tee terminal centro de latón, 5/16'"
41057,CLG-983N,"Tuerca cónica de latón, 5/16'"
41058,CLG-514N,"Codo terminal de latón, 5/16' x 3/8'"
41059,CLG-524N,"Codo para estufa a 90° de latón, 5/16' x 3/8'"
41060,VG-554-N,"Válvula de control para gas de latón,  5/16' x 1/2'"
41250,CHI-100X,"Chinches, 100 piezas, colores"
41251,CHI-100N,"Chinches, 100 piezas, negras"
41252,CHI-100B,"Chinches, 100 piezas, blancas"
41253,CHI-100A,"Chinches, 100 piezas, amarillas"
41254,CHI-100R,"Chinches, 100 piezas, rojas"
41255,CHI-100Z,"Chinches, 100 piezas, azules"
41256,CHI-100V,"Chinches, 100 piezas, verdes"
41257,CHI-100J,"Chinches, 100 piezas, naranjas"
41258,CHI-100F,"Chinches, 100 piezas, cafes"
41259,CHI-100C,"Chinches, 100 piezas, cromo"
41260,CHI-100S,"Chinches, 100 piezas, rosas"
41271,CC-001L,"Tubo cobre tipo 'L', 1/2', 3.05 metros"
41272,CC-002L,"Tubo cobre tipo 'L', 3/4', 3.05 metros"
41273,CC-003L,"Tubo cobre tipo 'L', 1', 3.05 metros"
41274,CC-001M,"Tubo cobre tipo 'M', 1/2', 3.05 metros"
41275,CC-002M,"Tubo cobre tipo 'M', 3/4', 3.05 metros"
41276,CC-003M,"Tubo cobre tipo 'M', 1', 3.05 metros"
41290,CC-201,"Cople de cobre, 1/2', sin ranura"
41291,CC-202,"Cople de cobre, 3/4', sin ranura"
41292,CC-203,"Cople de cobre, 1', sin  ranura"
41914,LU-1824,"Lona Ultra, 1.80 x 2.40 m, azul"
41915,LU-2030,"Lona Ultra, 2.00 x 3.00 m, azul"
41916,LU-2436,"Lona Ultra, 2.40 x 3.60 m, azul"
41917,LU-3030,"Lona Ultra, 3.0 x 3.0 m, azul"
41918,LU-3036,"Lona Ultra, 3.0 x 3.60 m, azul"
41919,LU-3040,"Lona Ultra, 3.0 x 4.0 m, azul"
41920,LU-3060,"Lona Ultra, 3.0 x 6.0 m, azul"
41921,LU-3648,"Lona Ultra, 3.60 x 4.80 m, azul"
41922,LU-3654,"Lona Ultra, 3.60 x 5.40 m, azul"
41923,LU-4050,"Lona Ultra, 4.0 x 5.0 m, azul"
41924,LU-4060,"Lona Ultra, 4.0 x 6.0 m, azul"
41925,LU-5060,"Lona Ultra, 5.0 x 6.0 m, azul"
41926,LU-5070,"Lona Ultra, 5.0 x 7.0 m, azul"
41927,LU-6060,"Lona Ultra, 6.0 x 6.0 m, azul"
41928,LU-6090,"Lona Ultra, 6.0 x 9.0 m, azul"
41929,LU-6012,"Lona Ultra, 6.0 x 12 m, azul"
41980,CV-GL-1/2,"Válvula de globo, PPR, 1/2'"
41981,CV-GL-3/4,"Válvula de globo, PPR, 3/4'"
41982,CV-GL-1,"Válvula de globo, PPR, 1'"
41983,CV-ES-1/2,"Válvula de esfera, PPR, 1/2'"
41984,CV-ES-3/4,"Válvula de esfera, PPR, 3/4'"
41985,CV-ES-1,"Válvula de esfera, PPR, 1'"
41986,CV-ESD-1/2,"Válvula de esfera desmontable, PPR, 1/2'"
41987,CV-ESD-3/4,"Válvula de esfera desmontable, PPR, 3/4'"
41988,CV-ESD-1,"Válvula de esfera desmontable, PPR, 1'"
42030,BOAP-1/2U,"Bomba eléctrica para agua, periférica, 1/2 HP, Ultracraft"
42410,VARO-3/16,"Varilla roscada, 3/16' x 1m"
42411,VARO-1/4,"Varilla roscada, 1/4' x 1m"
42412,VARO-5/16,"Varilla roscada, 5/16' x 1m"
42413,VARO-3/8,"Varilla roscada, 3/8' x 1m"
42414,VARO-7/16,"Varilla roscada, 7/16' x 1m"
42415,VARO-1/2,"Varilla roscada, 1/2' x 1m"
42416,VARO-5/8,"Varilla roscada, 5/8' x 1m"
42417,VARO-3/4,"Varilla roscada, 3/4' x 1m"
42418,VARO-7/8,"Varilla roscada, 7/8' x 1m"
42419,VARO-1,"Varilla roscada, 1' x 1m"
42666,DUP-310,"Duplicadora de 8 tipos de llaves, tipo torno"
42667,DUP-410,"Duplicadora de 5 tipos de llaves, tipo taladro"
42710,DIA-385P,"Diablo de carga de 385 kg, de plataforma, ruedas neumáticas"
42859,MAGA-50X10,"Malla ganadera de acero galvanizado, 50 X 1 m"
42860,MAGA-50X12,"Malla ganadera de acero galvanizado, 50 X 1.20 m"
42861,MAGA-50X14,"Malla ganadera de acero galvanizado, 50 X 1.40 m"
42862,MAGA-50X16,"Malla ganadera de acero galvanizado, 50 X 1.67 m"
42932,MACI-1550,"Malla ciclónica, calibre 11, abertura 55 x 55, 1x20 m"
42933,MACI-1551,"Malla ciclónica, calibre 11, abertura 55 x 55, 1.25 x 20 m"
42934,MACI-1552,"Malla ciclónica, calibre 11, abertura 55 x 55, 1.50 x 20 m"
42935,MACI-1553,"Malla ciclónica, calibre 11, abertura 55 x 55, 1.75 x 20 m"
42936,MACI-1554,"Malla ciclónica, calibre 11, abertura 55 x 55, 2 x 20 m"
42937,MACI-1630,"Malla ciclónica, calibre 11, abertura 63 x 63, 1 x 20 m"
42938,MACI-1631,"Malla ciclónica, calibre 11, abertura 63 x 63, 1.25 x 20 m"
42939,MACI-1632,"Malla ciclónica, calibre 11, abertura 63 x 63, 1.50 x 20 m"
