Codigo,clave,descripcion
10541,ADC-M14,Adaptador para discos tipo 1 rosca milimétrica M14-2.0 mm
10542,ADT27-5/8,"Adaptador para discos tipo 27, rosca 5/8-11 NC, de 7-9'"
10543,ADT27-M14,"Adaptador para discos tipo 27, rosca milimétrica M14-2.0 mm"
10544,ADC-MINI,Adaptador para discos de 4 y 4-1/2'
10545,LLUDA,"Llave universal para adaptadores, standard y milimétrico"
10546,EXTF-36,"Extensión de fibra de vidrio para rodillo, 3.6 m"
10547,EXTM-12,"Extensión de acero para rodillo, 1.2 m"
10548,EXTM-24,"Extensión de acero para rodillo, 2.4 m"
10549,EXTM-30,"Extensión de acero para rodillo, 3 m"
10552,CPE-16G,"Caja para pesca, 16', gris"
10553,ATJ,"Azadón jardinero Classic, con collar, mango 54'"
10554,MAC-18,"Martillo cabeza cónica, 18 mm"
10555,ATJ-KID,"Azadón para niños, mango 42'"
10557,MAC-23,"Martillo cabeza cónica, 23 mm"
10558,MAC-25,"Martillo cabeza cónica, 25 mm"
10559,ATJ-F,Azadón jardinero con mango fibra de vidrio 60'
10560,MAC-27,"Martillo cabeza cónica, 27 mm"
10561,MAC-29,"Martillo cabeza cónica, 29 mm"
10562,ATJ-C,"Azadón jardinero, tomatero corto, mango 16'"
10564,CAS-NX,"Casco de seguridad, naranja, ala ancha"
10565,ATM,"Azadón mezclero cabeza forjada, 10' de ancho, mango 60'"
10566,CAS-AX,"Casco de seguridad, amarillo, ala ancha"
10567,CAS-BX,"Casco de seguridad, blanco, ala ancha"
10568,CUL,Cultivador
10570,CAS-ZX,"Casco de seguridad, azul, ala ancha"
10571,CUL-CG,"Cultivador forjado, Classic Gardener, mango 54'"
10572,CAS-VX,"Casco de seguridad, verde, ala ancha"
10573,CAS-RX,"Casco de seguridad, rojo, ala ancha"
10574,ATP-CG,"Azadón triangular forjado, Classic Gardener, mango 54'"
10575,MBRO-53,"Marro de bronce, 53 oz, mango Hickory"
10576,MBRO-29,"Marro de bronce, 29 oz, mango Hickory"
10600,AL-0,"Azadón lane forjado no.0, sin mango, 1.5 lbs"
10603,AL-1,"Azadón lane forjado no.1, sin mango, 1.6 lbs"
10606,AL-2,"Azadón lane forjado no.2, sin mango, 1.7 lbs"
10609,AL-3,"Azadón lane forjado no.3, sin mango, 1.8 lbs"
10611,LI-CA-3AAA,"Linterna para cabeza, 3 pilas AAA, 20 lúmenes, 3 leds"
10612,AL-0M,"Azadón lane forjado no.0, con mango 54', 1.5 lbs"
10615,AL-1M,"Azadón lane forjado no.1, con mango 54', 1.6 lbs"
10617,LI-CA-60R,"Linterna para cabeza de1 Led, 60 lúmenes, recargable"
10618,AL-2M,"Azadón lane forjado no.2, con mango 54', 1.7 lbs"
10621,AL-3M,"Azadón lane forjado no.3, con mango 54', 1.8 lbs"
10638,GAN-MAV,"Portamanguera de plástico, verde"
10639,GAN-MAB,"Portamanguera de plástico, beige"
10640,SME-10X-3,"Sierra de piso 10' con extensión, 3 HP"
10641,KIT-CAT,"Kit de conversión a 3 llantas, carretillas tubulares"
10643,MORCA-16T,"Martillo California Ripper, boca fresada, 16 oz, mgo.tubular"
10644,MORCA-20T,"Martillo California Ripper, boca fresada, 20 oz, mgo.tubular"
10645,PISO-5X,Pistola metálica con 5 boquillas
10646,PI-AE,Pistola para aerosol
10647,PISO-363,Pistola metálica con 2 boquillas
10648,PISO-358,"Pistola para sopletear, mango plástico, 6'"
10650,J-BOQ-5,"Juego de boquillas para compresor de aire, 5 piezas"
10652,JCEA-3,Juego de 3 mini cepillo de alambre
10656,CEA-54I,"Cepillo de alambre, cerdas acero inoxidable, 64 pinceles"
10660,ABT-875,"Disco 'Sable' corte extrafino acero inoxidable, tipo 27, 7'"
10661,ABT-876,"Disco 'Sable' corte extrafino acero inoxidable, tipo 27, 9'"
10662,ABT-500,"Disco para corte de metal, tipo 1, diámetro 9'"
10664,ABT-786,"Disco para corte de metal, tipo 1, diámetro 4-1/2'"
10665,ABT-787,"Disco para corte de metal, tipo 1, diámetro 7'"
10666,ABT-783,"Disco para corte de metal, tipo 27, diámetro 7'"
10667,ABT-779,"Disco para desbaste de metal, tipo 27, diámetro 9'"
10668,ABT-372,"Disco para desbaste de acero inoxidable, tipo 27, 4-1/2'"
10669,ABT-389,"Disco para desbaste de acero inoxidable, tipo 27, 7'"
10670,ASP-GS,"Aspersor metálico 3/4', grandes superficies"
10671,BROU-MACH3/4X,"Juego de machimbrador, 3/4', con balero"
10672,BROU-MACH7/8X,"Juego de machimbrador, 7/8', con balero"
10673,BROU-E1-1/8X,"Broca para router, escalonada, 1-1/8', con balero"
10674,BROU-J1X,"Broca router, jovel, 1', con balero"
10675,BROU-Z1-1/4X,"Broca para router, zafiro, 1-1/4', con balero"
10676,BROU-ESP1-1/4X,"Broca para router, española, 1-1/4', con balero"
10677,BROU-CO-7/8X,"Broca para router, collarin, 7/8' con balero"
10678,POCA-L,Portaherramientas de carnaza para limas triangulares
10680,FC-3M,"Flexómetro compacto, 3 m, cinta 5/8'"
10681,FC-5M,"Flexómetro compacto, 5 m, cinta 3/4'"
10682,FC-55M,"Flexómetro compacto, 5.5 m, cinta 3/4'"
10683,FC-8M,"Flexómetro compacto, 8 m, cinta 1'"
10692,MACA-22,"Machete para caña de azúcar, 22'"
10693,MACA-24,"Machete para caña de azúcar, 24'"
